epoch,fold,timestamp,seconds,lr,cap_loss,clip_loss,val_loss,b1,b4,meteor,cider,is_best
59,19,2026-09-07 15:05:55,471.4,0.0001,3.7349,0.0000,,,,,,0
60,20,2026-09-07 15:16:36,566.2,0.0001,3.7313,0.0000,3.7212,0.5425,0.1692,,0.5191,0
62,2,2026-09-07 16:50:30,480.3,0.0001,3.7379,0.0000,,,,,,0
63,3,2026-09-07 16:57:28,415.3,0.0001,3.7126,0.0000,,,,,,0
64,4,2026-09-07 17:04:20,409.2,0.0001,3.7247,0.0000,,,,,,0
65,5,2026-09-07 17:11:25,423.1,0.0001,3.7165,0.0000,,,,,,0
66,6,2026-09-07 17:20:12,443.6,0.0001,3.7206,0.0000,,0.5698,0.1825,,0.5412,0
67,7,2026-09-07 17:27:22,427.3,0.0001,3.7039,0.0000,,,,,,0
68,8,2026-09-07 17:34:22,416.8,0.0001,3.7197,0.0000,,,,,,0
69,9,2026-09-07 17:41:18,414.0,0.0001,3.7074,0.0000,,,,,,0
70,10,2026-09-07 17:48:47,445.7,0.0001,3.7093,0.0000,,,,,,0
71,11,2026-09-07 17:55:53,423.9,0.0001,3.6832,0.0000,,,,,,0
72,12,2026-09-07 18:04:15,420.6,0.0001,3.7064,0.0000,,0.5280,0.1804,,0.4800,0
73,13,2026-09-07 18:11:25,427.2,0.0001,3.7002,0.0000,,,,,,0
74,14,2026-09-07 18:18:53,445.2,0.0001,3.6999,0.0000,,,,,,0
75,15,2026-09-07 18:28:45,589.4,0.0001,3.6968,0.0000,3.6706,,,,,0
76,16,2026-09-07 18:36:05,437.2,0.0001,3.6975,0.0000,,,,,,0
77,17,2026-09-07 18:43:08,420.0,0.0001,3.6920,0.0000,,,,,,0
78,18,2026-09-07 18:52:25,477.1,0.0001,3.6814,0.0000,,0.5637,0.2022,,0.5953,1
79,19,2026-09-07 18:59:56,448.1,0.0001,3.6678,0.0000,,,,,,0
80,20,2026-09-07 19:06:55,416.2,0.0001,3.6635,0.0000,,,,,,0
81,1,2026-09-07 19:14:03,425.8,0.0001,3.6778,0.0000,,,,,,0
83,3,2026-09-07 21:27:34,665.1,0.0001,3.6502,0.0000,,,,,,0
84,4,2026-09-07 21:37:04,468.9,0.0001,3.6673,0.0000,,0.5568,0.1996,,0.5866,0
85,5,2026-09-07 21:44:15,427.5,0.0001,3.6622,0.0000,,,,,,0
86,6,2026-09-07 21:51:41,443.5,0.0001,3.6688,0.0000,,,,,,0
87,7,2026-09-07 21:59:01,437.2,0.0001,3.6549,0.0000,,,,,,0
88,8,2026-09-07 22:06:10,426.8,0.0001,3.6716,0.0000,,,,,,0
89,9,2026-09-07 22:13:20,426.9,0.0001,3.6641,0.0000,,,,,,0
90,10,2026-09-07 22:25:03,622.3,0.0001,3.6720,0.0000,3.6529,0.5744,0.1853,,0.5854,0
91,11,2026-09-07 22:32:15,429.7,0.0001,3.6450,0.0000,,,,,,0
92,12,2026-09-07 22:39:32,434.3,0.0001,3.6753,0.0000,,,,,,0
93,13,2026-09-07 22:46:48,433.1,0.0001,3.6724,0.0000,,,,,,0
94,14,2026-09-07 22:54:22,451.0,0.0001,3.6683,0.0000,,,,,,0
95,15,2026-09-07 23:01:36,432.0,0.0001,3.6679,0.0000,,,,,,0
96,16,2026-09-07 23:09:58,418.7,0.0001,3.6920,0.0000,,0.5672,0.1855,,0.5441,0
97,17,2026-09-07 23:17:14,433.1,0.0001,3.7447,0.0000,,,,,,0
98,18,2026-09-07 23:24:47,450.6,0.0001,3.8145,0.0000,,,,,,0
99,19,2026-09-07 23:32:08,438.3,0.0001,3.8662,0.0000,,,,,,0
100,20,2026-09-07 23:39:12,421.2,0.0001,3.9144,0.0000,,,,,,0
101,1,2026-09-07 23:46:32,436.5,0.0001,3.9831,0.0000,,,,,,0
102,2,2026-09-07 23:55:42,467.4,0.0001,4.0540,0.0000,,0.5580,0.1796,,0.5518,0
103,3,2026-09-08 00:03:04,438.9,0.0001,4.0776,0.0000,,,,,,0
104,4,2026-09-08 00:10:11,423.8,0.0001,6.0551,0.0000,,,,,,0
105,5,2026-09-08 00:20:33,619.5,0.0001,5.9242,0.0000,5.7194,,,,,0
106,6,2026-09-08 00:28:53,496.7,0.0001,5.7934,0.0000,,,,,,0
107,7,2026-09-08 00:36:42,467.2,0.0001,5.8340,0.0000,,,,,,0
108,8,2026-09-08 00:45:46,422.1,0.0001,5.8323,0.0000,,0.0000,0.0000,,0.0000,0
109,9,2026-09-08 00:53:09,440.1,0.0001,5.8467,0.0000,,,,,,0
110,10,2026-09-08 01:00:52,460.3,0.0001,5.8145,0.0000,,,,,,0
111,11,2026-09-08 01:08:14,439.8,0.0001,5.7658,0.0000,,,,,,0
112,12,2026-09-08 01:15:28,431.2,0.0001,5.8495,0.0000,,,,,,0
113,13,2026-09-08 01:22:48,437.5,0.0001,5.9250,0.0000,,,,,,0
114,14,2026-09-08 01:33:45,456.0,0.0001,5.7119,0.0000,,0.0367,0.0003,,0.0007,0
115,15,2026-09-08 01:41:01,433.3,0.0001,5.7538,0.0000,,,,,,0
116,16,2026-09-08 01:48:07,424.2,0.0001,5.7782,0.0000,,,,,,0
117,17,2026-09-08 01:55:30,440.3,0.0001,5.8077,0.0000,,,,,,0
118,18,2026-09-08 02:03:05,451.8,0.0001,5.7858,0.0000,,,,,,0
119,19,2026-09-08 02:10:28,441.1,0.0001,5.7169,0.0000,,,,,,0
120,20,2026-09-08 02:21:34,596.4,0.0001,5.6487,0.0000,5.6133,0.0006,0.0000,,0.0008,0
121,1,2026-09-08 02:28:51,434.5,0.0001,5.6550,0.0000,,,,,,0
122,2,2026-09-08 02:37:18,502.9,0.0001,5.7132,0.0000,,,,,,0
123,3,2026-09-08 02:44:43,441.3,0.0001,5.7028,0.0000,,,,,,0
124,4,2026-09-08 02:52:01,435.3,0.0001,5.7910,0.0000,,,,,,0
125,5,2026-09-08 02:59:22,438.5,0.0001,5.9388,0.0000,,,,,,0
126,6,2026-09-08 03:11:47,468.6,0.0001,5.9872,0.0000,,0.0462,0.0001,,0.0043,0
127,7,2026-09-08 03:19:17,447.2,0.0001,6.1967,0.0000,,,,,,0
128,8,2026-09-08 03:26:33,432.8,0.0001,6.4860,0.0000,,,,,,0
129,9,2026-09-08 03:33:52,436.8,0.0001,7.3345,0.0000,,,,,,0
130,10,2026-09-08 03:41:57,481.7,0.0001,7.3066,0.0000,,,,,,0
131,11,2026-09-08 03:49:11,431.8,0.0001,7.1047,0.0000,,,,,,0
132,12,2026-09-08 04:00:46,426.0,0.0001,7.3036,0.0000,,0.0497,0.0002,,0.0320,0
133,13,2026-09-08 04:08:01,432.9,0.0001,7.1335,0.0000,,,,,,0
134,14,2026-09-08 04:15:53,468.9,0.0001,7.2256,0.0000,,,,,,0
135,15,2026-09-08 04:26:04,608.9,0.0001,7.1089,0.0000,6.5184,,,,,0
136,16,2026-09-08 04:33:43,456.2,0.0001,7.2309,0.0000,,,,,,0
137,17,2026-09-08 04:41:39,473.0,0.0001,7.3684,0.0000,,,,,,0
138,18,2026-09-08 04:53:38,454.8,0.0001,7.6946,0.0000,,0.0368,0.0002,,0.0000,0
139,19,2026-09-08 05:00:55,435.3,0.0001,7.6041,0.0000,,,,,,0
140,20,2026-09-08 05:08:09,430.5,0.0001,7.4149,0.0000,,,,,,0
141,1,2026-09-08 05:15:18,426.1,0.0001,7.2373,0.0000,,,,,,0
142,2,2026-09-08 05:22:48,447.1,0.0001,7.0264,0.0000,,,,,,0
143,3,2026-09-08 05:30:01,430.8,0.0001,6.7547,0.0000,,,,,,0
144,4,2026-09-08 05:42:18,425.6,0.0001,6.4682,0.0000,,0.0378,0.0001,,0.0000,0
145,5,2026-09-08 05:49:20,418.9,0.0001,6.2488,0.0000,,,,,,0
147,7,2026-09-08 08:47:28,422.1,0.0001,5.9995,0.0000,,,,,,0
148,8,2026-09-08 08:54:17,405.8,0.0001,6.0284,0.0000,,,,,,0
149,9,2026-09-08 09:01:04,404.6,0.0001,6.0112,0.0000,,,,,,0
150,10,2026-09-08 09:14:18,592.8,0.0001,5.9735,0.0000,5.9218,0.0365,0.0002,,0.0000,0
151,11,2026-09-08 09:21:28,427.0,0.0001,6.0386,0.0000,,,,,,0
152,12,2026-09-08 09:28:25,414.4,0.0001,5.9897,0.0000,,,,,,0
153,13,2026-09-08 09:35:23,415.6,0.0001,5.9249,0.0000,,,,,,0
154,14,2026-09-08 09:42:53,447.8,0.0001,5.8684,0.0000,,,,,,0
155,15,2026-09-08 09:50:01,425.1,0.0001,5.9111,0.0000,,,,,,0
156,16,2026-09-08 10:02:17,421.8,0.0001,5.8808,0.0000,,0.0387,0.0001,,0.0023,0
157,17,2026-09-08 10:09:28,428.6,0.0001,5.8191,0.0000,,,,,,0
159,19,2026-09-08 10:47:32,475.6,0.0001,5.7994,0.0000,,,,,,0
160,20,2026-09-08 10:54:31,416.3,0.0001,5.9659,0.0000,,,,,,0
161,1,2026-09-08 11:01:35,420.7,0.0001,5.8227,0.0000,,,,,,0
162,2,2026-09-08 11:13:51,442.3,0.0001,5.8113,0.0000,,0.0389,0.0001,,0.0000,0
163,3,2026-09-08 11:20:55,422.0,0.0001,5.7933,0.0000,,,,,,0
164,4,2026-09-08 11:28:19,441.1,0.0001,5.8098,0.0000,,,,,,0
165,5,2026-09-08 11:38:22,600.2,0.0001,5.8064,0.0000,6.2883,,,,,0
166,6,2026-09-08 11:45:48,443.4,0.0001,5.8213,0.0000,,,,,,0
