epoch,fold,timestamp,seconds,lr,cap_loss,clip_loss,val_loss,b1,b4,meteor,cider,is_best
56,16,2026-09-07 15:12:52,233.2,0.0001,3.7121,0.0000,,,,,,0
57,17,2026-09-07 15:18:35,218.5,0.0001,3.7023,0.0000,,,,,,0
58,18,2026-09-07 15:22:02,206.6,0.0001,3.6906,0.0000,,,,,,0
59,19,2026-09-07 15:25:31,207.1,0.0001,3.6920,0.0000,,,,,,0
60,20,2026-09-07 15:32:16,314.5,0.0001,3.6837,0.0000,3.6831,0.5787,0.1898,,0.5886,0
61,1,2026-09-07 15:35:44,205.0,0.0001,3.6979,0.0000,,,,,,0
62,2,2026-09-07 15:39:11,204.7,0.0001,3.6976,0.0000,,,,,,0
63,3,2026-09-07 15:42:40,206.2,0.0001,3.6720,0.0000,,,,,,0
64,4,2026-09-07 15:46:05,203.9,0.0001,3.6895,0.0000,,,,,,0
65,5,2026-09-07 15:49:32,205.5,0.0001,3.6866,0.0000,,,,,,0
66,6,2026-09-07 15:54:25,204.4,0.0001,3.6931,0.0000,,0.5976,0.1986,,0.6199,0
67,7,2026-09-07 15:57:48,202.3,0.0001,3.6876,0.0000,,,,,,0
68,8,2026-09-07 16:01:12,202.8,0.0001,3.7160,0.0000,,,,,,0
69,9,2026-09-07 16:04:36,203.5,0.0001,3.7353,0.0000,,,,,,0
70,10,2026-09-07 16:08:03,205.1,0.0001,3.8016,0.0000,,,,,,0
71,11,2026-09-07 16:11:29,204.8,0.0001,3.8284,0.0000,,,,,,0
72,12,2026-09-07 16:16:26,205.4,0.0001,3.9004,0.0000,,0.5907,0.2170,,0.5981,1
73,13,2026-09-07 16:19:49,201.9,0.0001,4.0737,0.0000,,,,,,0
74,14,2026-09-07 16:23:12,202.0,0.0001,5.3358,0.0000,,,,,,0
75,15,2026-09-07 16:28:24,310.8,0.0001,5.1126,0.0000,4.8885,,,,,0
76,16,2026-09-07 16:31:52,205.5,0.0001,5.2575,0.0000,,,,,,0
77,17,2026-09-07 16:35:19,205.9,0.0001,5.3971,0.0000,,,,,,0
78,18,2026-09-07 16:42:22,206.5,0.0001,5.5763,0.0000,,0.0434,0.0008,,0.0001,0
79,19,2026-09-07 16:45:47,203.9,0.0001,5.7770,0.0000,,,,,,0
80,20,2026-09-07 16:49:13,205.5,0.0001,5.7153,0.0000,,,,,,0
81,1,2026-09-07 16:52:38,204.0,0.0001,5.6843,0.0000,,,,,,0
82,2,2026-09-07 16:56:03,203.9,0.0001,5.6661,0.0000,,,,,,0
83,3,2026-09-07 16:59:30,205.5,0.0001,5.6861,0.0000,,,,,,0
84,4,2026-09-07 17:06:08,206.2,0.0001,5.6836,0.0000,,0.0138,0.0003,,0.0017,0
85,5,2026-09-07 17:09:34,204.5,0.0001,5.7453,0.0000,,,,,,0
86,6,2026-09-07 17:12:59,203.9,0.0001,5.6993,0.0000,,,,,,0
87,7,2026-09-07 17:16:23,203.1,0.0001,5.7073,0.0000,,,,,,0
88,8,2026-09-07 17:19:48,204.0,0.0001,5.7001,0.0000,,,,,,0
89,9,2026-09-07 17:23:18,207.9,0.0001,5.7831,0.0000,,,,,,0
90,10,2026-09-07 17:30:32,314.6,0.0001,5.7339,0.0000,5.6838,,,,0.0000,0
91,11,2026-09-07 17:34:20,227.3,0.0001,5.6788,0.0000,,,,,,0
92,12,2026-09-07 17:37:43,202.6,0.0001,5.6659,0.0000,,,,,,0
93,13,2026-09-07 17:41:06,201.1,0.0001,5.6795,0.0000,,,,,,0
94,14,2026-09-07 17:44:30,203.2,0.0001,5.6929,0.0000,,,,,,0
95,15,2026-09-07 17:47:53,201.2,0.0001,5.7526,0.0000,,,,,,0
96,16,2026-09-07 17:56:14,200.7,0.0001,5.7118,0.0000,,0.0374,0.0002,,0.0013,0
97,17,2026-09-07 17:59:37,202.4,0.0001,5.7056,0.0000,,,,,,0
98,18,2026-09-07 18:03:00,202.3,0.0001,5.6985,0.0000,,,,,,0
99,19,2026-09-07 18:06:24,202.5,0.0001,5.6859,0.0000,,,,,,0
100,20,2026-09-07 18:09:48,202.8,0.0001,5.6860,0.0000,,,,,,0
101,1,2026-09-07 18:13:12,202.3,0.0001,5.7082,0.0000,,,,,,0
102,2,2026-09-07 18:19:25,201.7,0.0001,5.6877,0.0000,,0.0001,0.0000,,0.0000,0
103,3,2026-09-07 18:22:48,201.3,0.0001,5.6729,0.0000,,,,,,0
104,4,2026-09-07 18:26:11,202.7,0.0001,5.6905,0.0000,,,,,,0
105,5,2026-09-07 18:31:22,310.0,0.0001,5.6391,0.0000,5.7016,,,,,0
106,6,2026-09-07 18:35:02,218.6,0.0001,5.6469,0.0000,,,,,,0
107,7,2026-09-07 18:38:30,206.7,0.0001,5.6800,0.0000,,,,,,0
108,8,2026-09-07 18:44:50,207.1,0.0001,5.6892,0.0000,,0.0000,0.0000,,0.0000,0
109,9,2026-09-07 18:48:13,202.4,0.0001,5.6683,0.0000,,,,,,0
110,10,2026-09-07 18:51:38,204.0,0.0001,5.6626,0.0000,,,,,,0
111,11,2026-09-07 18:55:05,205.6,0.0001,5.6712,0.0000,,,,,,0
112,12,2026-09-07 18:58:30,204.0,0.0001,5.7284,0.0000,,,,,,0
113,13,2026-09-07 19:01:56,205.1,0.0001,5.7439,0.0000,,,,,,0
114,14,2026-09-07 19:08:24,204.3,0.0001,5.7885,0.0000,,0.0002,0.0000,,0.0000,0
115,15,2026-09-07 19:11:50,205.0,0.0001,5.7980,0.0000,,,,,,0
116,16,2026-09-07 19:15:16,205.1,0.0001,5.7711,0.0000,,,,,,0
117,17,2026-09-07 19:18:40,202.6,0.0001,5.7008,0.0000,,,,,,0
118,18,2026-09-07 19:22:05,203.7,0.0001,5.6714,0.0000,,,,,,0
120,20,2026-09-08 00:58:41,321.8,0.0001,5.7133,0.0000,5.6579,,,,0.0000,0
121,1,2026-09-08 01:02:06,204.1,0.0001,5.6649,0.0000,,,,,,0
122,2,2026-09-08 01:05:29,201.8,0.0001,5.5795,0.0000,,,,,,0
123,3,2026-09-08 01:08:52,202.3,0.0001,5.5152,0.0000,,,,,,0
124,4,2026-09-08 01:12:17,202.9,0.0001,5.5455,0.0000,,,,,,0
125,5,2026-09-08 01:15:40,202.3,0.0001,5.6416,0.0000,,,,,,0
126,6,2026-09-08 01:22:12,203.9,0.0001,5.6012,0.0000,,0.0351,0.0002,,0.0000,0
127,7,2026-09-08 01:25:37,203.7,0.0001,5.5742,0.0000,,,,,,0
128,8,2026-09-08 01:29:03,204.8,0.0001,5.5844,0.0000,,,,,,0
129,9,2026-09-08 01:32:30,204.7,0.0001,5.5578,0.0000,,,,,,0
130,10,2026-09-08 01:35:54,203.7,0.0001,5.5942,0.0000,,,,,,0
131,11,2026-09-08 01:39:23,206.8,0.0001,5.5692,0.0000,,,,,,0
132,12,2026-09-08 01:47:26,209.4,0.0001,5.5982,0.0000,,0.0374,0.0003,,0.0050,0
133,13,2026-09-08 01:50:53,204.7,0.0001,5.5491,0.0000,,,,,,0
134,14,2026-09-08 01:54:20,205.0,0.0001,5.6062,0.0000,,,,,,0
135,15,2026-09-08 01:59:31,310.3,0.0001,5.6313,0.0000,5.6373,,,,,0
136,16,2026-09-08 02:02:57,204.8,0.0001,5.6885,0.0000,,,,,,0
137,17,2026-09-08 02:06:21,203.1,0.0001,5.6567,0.0000,,,,,,0
138,18,2026-09-08 02:15:17,204.0,0.0001,5.6730,0.0000,,0.0410,0.0001,,0.0143,0
139,19,2026-09-08 02:18:42,203.9,0.0001,5.7088,0.0000,,,,,,0
140,20,2026-09-08 02:22:06,203.0,0.0001,5.7485,0.0000,,,,,,0
141,1,2026-09-08 02:25:32,203.8,0.0001,5.7547,0.0000,,,,,,0
142,2,2026-09-08 02:28:57,204.1,0.0001,5.7588,0.0000,,,,,,0
143,3,2026-09-08 02:32:22,204.5,0.0001,5.7353,0.0000,,,,,,0
144,4,2026-09-08 02:41:33,205.4,0.0001,5.7266,0.0000,,0.0387,0.0001,,0.0000,0
145,5,2026-09-08 02:44:58,203.5,0.0001,5.7482,0.0000,,,,,,0
146,6,2026-09-08 02:48:22,202.7,0.0001,5.7465,0.0000,,,,,,0
147,7,2026-09-08 02:51:46,203.4,0.0001,5.6964,0.0000,,,,,,0
148,8,2026-09-08 02:55:11,204.2,0.0001,5.7054,0.0000,,,,,,0
149,9,2026-09-08 02:58:36,203.1,0.0001,5.7510,0.0000,,,,,,0
150,10,2026-09-08 03:09:03,309.6,0.0001,5.7226,0.0000,5.5512,0.0462,0.0002,,0.0435,0
151,11,2026-09-08 03:12:29,204.9,0.0001,5.6957,0.0000,,,,,,0
152,12,2026-09-08 03:15:54,204.0,0.0001,5.6314,0.0000,,,,,,0
153,13,2026-09-08 03:19:19,204.6,0.0001,5.8243,0.0000,,,,,,0
154,14,2026-09-08 03:22:44,203.7,0.0001,5.8679,0.0000,,,,,,0
155,15,2026-09-08 03:26:10,204.5,0.0001,5.8681,0.0000,,,,,,0
156,16,2026-09-08 03:31:43,206.4,0.0001,5.8044,0.0000,,0.0001,0.0000,,0.0000,0
157,17,2026-09-08 03:35:39,235.0,0.0001,5.7733,0.0000,,,,,,0
158,18,2026-09-08 03:39:04,204.1,0.0001,5.7214,0.0000,,,,,,0
159,19,2026-09-08 03:42:29,204.3,0.0001,5.6279,0.0000,,,,,,0
160,20,2026-09-08 03:45:54,203.0,0.0001,5.6084,0.0000,,,,,,0
